Average RTT
Time
Time

0.000000 0.000000 
1.000000 18.733333 
2.000000 140.866667 
3.000000 178.866667 
4.000000 192.000000 
5.000000 196.933333 
6.000000 198.533333 
7.000000 201.466667 
8.000000 203.000000 
9.000000 204.266667 
10.000000 204.733333 
11.000000 204.933333 
12.000000 204.666667 
13.000000 204.533333 
14.000000 204.466667 
15.000000 204.600000 
16.000000 203.933333 
17.000000 203.800000 
18.000000 203.333333 
19.000000 203.066667 
20.000000 202.266667 
21.000000 201.866667 
22.000000 201.466667 
23.000000 200.400000 
24.000000 199.200000 
25.000000 198.733333 
26.000000 198.000000 
27.000000 197.333333 
28.000000 196.400000 
29.000000 195.333333 
30.000000 194.533333 
31.000000 194.133333 
32.000000 193.266667 
33.000000 192.400000 
34.000000 191.600000 
35.000000 191.200000 
36.000000 191.000000 
37.000000 190.400000 
38.000000 190.066667 
39.000000 189.466667 
40.000000 188.933333 
41.000000 188.600000 
42.000000 188.800000 
43.000000 188.666667 
44.000000 188.266667 
45.000000 187.600000 
46.000000 187.333333 
47.000000 187.066667 
48.000000 186.933333 
49.000000 186.800000 
50.000000 186.400000 
51.000000 186.400000 
52.000000 186.000000 
53.000000 185.600000 
54.000000 185.400000 
55.000000 185.400000 
56.000000 185.200000 
57.000000 185.466667 
58.000000 185.400000 
59.000000 185.533333 
60.000000 185.400000 
61.000000 185.066667 
62.000000 185.133333 
63.000000 185.333333 
64.000000 185.333333 
65.000000 185.266667 
66.000000 185.400000 
67.000000 185.466667 
68.000000 185.533333 
69.000000 185.266667 
70.000000 185.266667 
71.000000 185.600000 
72.000000 185.333333 
73.000000 185.400000 
74.000000 185.533333 
75.000000 185.600000 
76.000000 185.866667 
77.000000 186.133333 
78.000000 186.000000 
79.000000 185.666667 
80.000000 185.933333 
81.000000 185.866667 
82.000000 186.066667 
83.000000 186.400000 
84.000000 186.400000 
85.000000 186.666667 
86.000000 187.133333 
87.000000 187.466667 
88.000000 187.466667 
89.000000 187.666667 
90.000000 187.933333 
91.000000 188.400000 
92.000000 188.600000 
93.000000 188.600000 
94.000000 188.933333 
95.000000 189.333333 
96.000000 189.400000 
97.000000 189.933333 
98.000000 189.933333 
99.000000 190.200000 
