Average Rejection Rate
Time
Rejection (%)

0.000000 0.000000 
1.000000 3.559389 
2.000000 37.798677 
3.000000 62.236004 
4.000000 79.393306 
5.000000 93.254457 
6.000000 102.878158 
7.000000 109.078272 
8.000000 113.707053 
9.000000 117.149004 
10.000000 119.741239 
11.000000 121.744177 
12.000000 122.702452 
13.000000 123.260392 
14.000000 123.477100 
15.000000 123.405161 
16.000000 123.081493 
17.000000 122.444985 
18.000000 121.787360 
19.000000 121.079562 
20.000000 120.063084 
21.000000 119.090574 
22.000000 118.202421 
23.000000 116.862411 
24.000000 115.628299 
25.000000 114.394011 
26.000000 113.007665 
27.000000 111.933285 
28.000000 110.711893 
29.000000 109.312189 
30.000000 108.178407 
31.000000 107.045952 
32.000000 105.737798 
33.000000 104.564530 
34.000000 103.495494 
35.000000 102.497681 
36.000000 101.545348 
37.000000 100.501769 
38.000000 99.732888 
39.000000 98.744997 
40.000000 97.816923 
41.000000 97.054037 
42.000000 96.529618 
43.000000 95.741083 
44.000000 95.036472 
45.000000 94.279870 
46.000000 93.635665 
47.000000 92.882069 
48.000000 92.306760 
49.000000 91.660785 
50.000000 91.125037 
51.000000 90.666786 
52.000000 90.072020 
53.000000 89.390646 
54.000000 88.845460 
55.000000 88.345360 
56.000000 87.724235 
57.000000 87.189383 
58.000000 86.604258 
59.000000 86.171728 
60.000000 85.692253 
61.000000 85.198917 
62.000000 84.825691 
63.000000 84.466970 
64.000000 84.079096 
65.000000 83.702894 
66.000000 83.356611 
67.000000 82.987147 
68.000000 82.666080 
69.000000 82.331544 
70.000000 82.035193 
71.000000 81.793757 
72.000000 81.466463 
73.000000 81.175287 
74.000000 80.896383 
75.000000 80.582403 
76.000000 80.368514 
77.000000 80.127765 
78.000000 79.792839 
79.000000 79.507994 
80.000000 79.242058 
81.000000 78.979088 
82.000000 78.766040 
83.000000 78.533290 
84.000000 78.247588 
85.000000 77.998488 
86.000000 77.792791 
87.000000 77.594439 
88.000000 77.379969 
89.000000 77.148701 
90.000000 76.960341 
91.000000 76.789048 
92.000000 76.579186 
93.000000 76.351159 
94.000000 76.247570 
95.000000 76.109071 
96.000000 75.934067 
97.000000 75.762208 
98.000000 75.586907 
99.000000 75.422539 
