Average Utilization
Time
Utilization (%)

0.000000 0.000000 
1.000000 34.412153 
2.000000 61.738234 
3.000000 69.103855 
4.000000 72.979650 
5.000000 73.894470 
6.000000 73.519722 
7.000000 72.968611 
8.000000 73.113888 
9.000000 73.524603 
10.000000 74.447218 
11.000000 76.197835 
12.000000 78.377418 
13.000000 81.247168 
14.000000 84.126953 
15.000000 87.043976 
16.000000 88.974962 
17.000000 90.878922 
18.000000 92.212707 
19.000000 93.622259 
20.000000 94.432211 
21.000000 95.334985 
22.000000 95.606418 
23.000000 95.685966 
24.000000 95.418705 
25.000000 95.884531 
26.000000 95.703178 
27.000000 96.312691 
28.000000 96.780937 
29.000000 96.564588 
30.000000 96.480219 
31.000000 96.878270 
32.000000 96.757799 
33.000000 96.624556 
34.000000 97.065033 
35.000000 97.045543 
36.000000 97.198443 
37.000000 96.670157 
38.000000 97.253962 
39.000000 97.197744 
40.000000 96.936500 
41.000000 97.337851 
42.000000 97.168666 
43.000000 97.063943 
44.000000 96.829556 
45.000000 97.096090 
46.000000 96.978896 
47.000000 96.978222 
48.000000 96.834385 
49.000000 97.381126 
50.000000 96.977033 
51.000000 97.051486 
52.000000 97.151559 
53.000000 97.072791 
54.000000 96.956629 
55.000000 97.239867 
56.000000 96.279001 
57.000000 97.336260 
58.000000 96.746812 
59.000000 97.230232 
60.000000 97.408182 
61.000000 97.042790 
62.000000 97.157671 
63.000000 97.378497 
64.000000 97.403905 
65.000000 97.492935 
66.000000 97.492744 
67.000000 97.737743 
68.000000 97.546946 
69.000000 97.608447 
70.000000 97.854186 
71.000000 97.761955 
72.000000 97.831746 
73.000000 97.749760 
74.000000 97.780623 
75.000000 97.555792 
76.000000 97.541950 
77.000000 97.462069 
78.000000 97.530838 
79.000000 97.313861 
80.000000 97.613868 
81.000000 97.668067 
82.000000 97.831019 
83.000000 97.883749 
84.000000 97.798476 
85.000000 97.470735 
86.000000 97.565636 
87.000000 97.944323 
88.000000 97.758757 
89.000000 97.514220 
90.000000 97.784975 
91.000000 97.810773 
92.000000 97.800500 
93.000000 97.512286 
94.000000 98.033982 
95.000000 97.943473 
96.000000 97.581282 
97.000000 97.533750 
98.000000 97.774816 
99.000000 97.837746 
