Average Round Trip Time
Time
Average RTT

0.000000 0.000000 
1.000000 0.000000 
2.000000 88.466667 
3.000000 139.733333 
4.000000 168.600000 
5.000000 184.600000 
6.000000 193.133333 
7.000000 196.400000 
8.000000 199.866667 
9.000000 201.200000 
10.000000 201.400000 
11.000000 199.866667 
12.000000 200.533333 
13.000000 201.266667 
14.000000 200.533333 
15.000000 198.400000 
16.000000 197.133333 
17.000000 196.200000 
18.000000 194.600000 
19.000000 192.600000 
20.000000 191.133333 
21.000000 189.066667 
22.000000 187.200000 
23.000000 185.600000 
24.000000 183.800000 
25.000000 181.933333 
26.000000 179.466667 
27.000000 177.866667 
28.000000 175.666667 
29.000000 173.866667 
30.000000 172.200000 
31.000000 170.133333 
32.000000 168.600000 
33.000000 166.933333 
34.000000 165.466667 
35.000000 164.000000 
36.000000 162.466667 
37.000000 160.933333 
38.000000 159.866667 
39.000000 158.600000 
40.000000 157.666667 
41.000000 156.400000 
42.000000 155.733333 
43.000000 154.733333 
44.000000 154.066667 
45.000000 153.400000 
46.000000 152.400000 
47.000000 151.666667 
48.000000 150.466667 
49.000000 149.866667 
50.000000 149.333333 
51.000000 148.133333 
52.000000 147.800000 
53.000000 147.200000 
54.000000 146.466667 
55.000000 146.133333 
56.000000 146.133333 
57.000000 145.466667 
58.000000 144.866667 
59.000000 144.866667 
60.000000 144.800000 
61.000000 144.333333 
62.000000 144.466667 
63.000000 143.933333 
64.000000 143.733333 
65.000000 143.600000 
66.000000 143.266667 
67.000000 143.333333 
68.000000 143.000000 
69.000000 142.866667 
70.000000 143.200000 
71.000000 142.666667 
72.000000 142.533333 
73.000000 142.466667 
74.000000 142.800000 
75.000000 142.866667 
76.000000 142.600000 
77.000000 142.666667 
78.000000 142.466667 
79.000000 142.333333 
80.000000 142.533333 
81.000000 142.400000 
82.000000 142.466667 
83.000000 142.400000 
84.000000 142.333333 
85.000000 142.133333 
86.000000 142.200000 
87.000000 142.133333 
88.000000 142.133333 
89.000000 142.400000 
90.000000 142.533333 
91.000000 142.733333 
92.000000 142.600000 
93.000000 142.666667 
94.000000 142.933333 
95.000000 143.133333 
96.000000 143.333333 
97.000000 143.466667 
98.000000 143.533333 
99.000000 143.933333 
