Average Rejection Rate
Time
Rejection (%)

0.000000 0.000000 
1.000000 0.000000 
2.000000 10.139301 
3.000000 23.409816 
4.000000 29.330206 
5.000000 34.522116 
6.000000 37.781009 
7.000000 39.946650 
8.000000 41.617101 
9.000000 42.656881 
10.000000 43.557360 
11.000000 43.922562 
12.000000 44.401970 
13.000000 45.292540 
14.000000 45.779260 
15.000000 46.020535 
16.000000 46.125388 
17.000000 46.506661 
18.000000 46.696293 
19.000000 46.547187 
20.000000 46.557956 
21.000000 46.368533 
22.000000 46.252528 
23.000000 46.226003 
24.000000 46.040625 
25.000000 45.766394 
26.000000 45.417439 
27.000000 45.241957 
28.000000 44.973223 
29.000000 44.809449 
30.000000 44.605437 
31.000000 44.380092 
32.000000 44.122755 
33.000000 43.894408 
34.000000 43.660511 
35.000000 43.481094 
36.000000 43.286603 
37.000000 43.067745 
38.000000 42.887260 
39.000000 42.710479 
40.000000 42.596868 
41.000000 42.409447 
42.000000 42.299459 
43.000000 42.154696 
44.000000 42.062217 
45.000000 41.893746 
46.000000 41.762092 
47.000000 41.608846 
48.000000 41.406344 
49.000000 41.288136 
50.000000 41.171962 
51.000000 41.008201 
52.000000 40.926544 
53.000000 40.833299 
54.000000 40.713355 
55.000000 40.654521 
56.000000 40.586547 
57.000000 40.407277 
58.000000 40.293459 
59.000000 40.236869 
60.000000 40.156530 
61.000000 40.083114 
62.000000 40.002604 
63.000000 39.808727 
64.000000 39.747915 
65.000000 39.677111 
66.000000 39.598200 
67.000000 39.541785 
68.000000 39.404315 
69.000000 39.320965 
70.000000 39.228394 
71.000000 39.116862 
72.000000 39.027517 
73.000000 38.943559 
74.000000 38.917405 
75.000000 38.826185 
76.000000 38.760989 
77.000000 38.701085 
78.000000 38.563727 
79.000000 38.462148 
80.000000 38.413684 
81.000000 38.344894 
82.000000 38.310549 
83.000000 38.245958 
84.000000 38.145976 
85.000000 38.049800 
86.000000 38.017134 
87.000000 37.981985 
88.000000 37.922204 
89.000000 37.855828 
90.000000 37.783970 
91.000000 37.705185 
92.000000 37.612014 
93.000000 37.518517 
94.000000 37.445956 
95.000000 37.414678 
96.000000 37.384323 
97.000000 37.356205 
98.000000 37.305741 
99.000000 37.274403 
