Average Rejection Rate
Time
Rejection Rate

0.000000 0.000000 
1.000000 0.000000 
2.000000 100.000000 
3.000000 95.060983 
4.000000 84.004529 
5.000000 81.637224 
6.000000 82.229398 
7.000000 82.998634 
8.000000 83.558695 
9.000000 85.336457 
10.000000 87.055450 
11.000000 88.685608 
12.000000 90.067145 
13.000000 91.400673 
14.000000 92.427572 
15.000000 93.312612 
16.000000 94.037608 
17.000000 94.544226 
18.000000 95.023034 
19.000000 95.437768 
20.000000 95.768000 
21.000000 96.053034 
22.000000 96.297024 
23.000000 96.521878 
24.000000 96.704791 
25.000000 96.872070 
26.000000 97.024114 
27.000000 97.155987 
28.000000 97.287746 
29.000000 97.399828 
30.000000 97.504379 
31.000000 97.610022 
32.000000 97.696740 
33.000000 97.781113 
34.000000 97.851006 
35.000000 97.908865 
36.000000 97.967650 
37.000000 98.020326 
38.000000 98.047282 
39.000000 98.064374 
40.000000 98.071155 
41.000000 98.069895 
42.000000 98.069574 
43.000000 98.070569 
44.000000 98.070569 
45.000000 98.070569 
46.000000 98.070569 
47.000000 98.070569 
48.000000 98.070569 
49.000000 98.070569 
50.000000 98.070569 
51.000000 98.070569 
52.000000 98.070569 
53.000000 98.070569 
54.000000 98.070569 
55.000000 98.070569 
56.000000 98.070569 
57.000000 98.070569 
58.000000 98.070569 
59.000000 98.070569 
60.000000 98.070569 
61.000000 98.070569 
62.000000 98.070569 
63.000000 98.070569 
64.000000 98.070569 
65.000000 98.070569 
66.000000 98.070569 
67.000000 98.070569 
68.000000 98.070569 
69.000000 98.070569 
70.000000 98.070569 
71.000000 98.070569 
72.000000 98.070569 
73.000000 98.070569 
74.000000 98.070569 
75.000000 98.070569 
76.000000 98.070569 
77.000000 98.070569 
78.000000 98.070569 
79.000000 98.070569 
80.000000 98.070569 
81.000000 98.070569 
82.000000 98.070569 
83.000000 98.070569 
84.000000 98.070569 
85.000000 98.070569 
86.000000 98.070569 
87.000000 98.070569 
88.000000 98.070569 
89.000000 98.070569 
90.000000 98.070569 
91.000000 98.070569 
92.000000 98.070569 
93.000000 98.070569 
94.000000 98.070569 
95.000000 98.070569 
96.000000 98.070569 
97.000000 98.070569 
98.000000 98.070569 
99.000000 98.070569 
