Average Connected Peers
Time
Connecte Peers

0 0.0
1000 0.0
2000 1.0
3000 2.0
4000 2.0
5000 2.0
6000 2.0
7000 2.0
8000 2.0
9000 2.0
10000 2.0
11000 2.0
12000 2.0
13000 3.0
14000 3.0
15000 3.0
16000 4.0
17000 4.0
18000 5.0
19000 6.0
20000 7.0
21000 8.0
22000 8.0
23000 8.0
24000 8.0
25000 8.0
26000 7.0
27000 6.0
28000 6.0
29000 6.0
30000 7.0
31000 7.0
32000 8.0
33000 9.0
34000 9.0
35000 11.0
36000 12.0
37000 13.0
38000 15.0
39000 15.0
40000 15.0
41000 14.0
42000 13.0
43000 14.0
44000 15.0
45000 17.0
46000 18.0
47000 16.0
48000 14.0
49000 14.0
50000 15.0
51000 15.0
52000 14.0
53000 15.0
54000 16.0
55000 18.0
56000 18.0
57000 18.0
58000 18.0
59000 18.0
60000 18.0
61000 17.0
62000 16.0
63000 14.0
64000 13.0
65000 13.0
66000 13.0
67000 14.0
68000 14.0
69000 14.0
70000 13.0
71000 15.0
72000 16.0
73000 16.0
74000 16.0
75000 15.0
76000 12.0
77000 12.0
78000 12.0
79000 10.0
80000 9.0
81000 9.0
82000 10.0
83000 10.0
84000 11.0
85000 13.0
86000 15.0
87000 18.0
88000 20.0
89000 19.0
90000 20.0
91000 21.0
92000 20.0
93000 19.0
94000 18.0
95000 19.0
96000 20.0
97000 20.0
98000 21.0
99000 20.0
