Average Round Trip Time
Time
Average RTT

0 0.0
1000 0.0
2000 0.0
3000 45.77777777777777
4000 129.4561403508772
5000 401.5981981981982
6000 439.0689608636978
7000 456.4555718475074
8000 547.0006319192116
9000 636.9259259259261
10000 746.642922553637
11000 762.1144464150971
12000 763.9652878373305
13000 767.941170323929
14000 777.099386766356
15000 780.3167919245507
16000 787.3946869708337
17000 787.3946869708337
18000 788.7512838468723
19000 789.7771241830065
20000 789.7771241830065
21000 791.5361111111112
22000 791.5361111111112
23000 791.5361111111112
24000 791.5361111111112
25000 791.5361111111112
26000 791.5361111111112
27000 791.5361111111112
28000 791.5361111111112
29000 791.5361111111112
30000 791.5361111111112
31000 791.5361111111112
32000 791.5361111111112
33000 791.5361111111112
34000 791.5361111111112
35000 791.8200364298726
36000 790.9149661806537
37000 624.6897907503666
38000 624.6897907503666
39000 625.7235772357725
40000 625.7235772357725
41000 625.7235772357725
42000 625.7235772357725
43000 625.7235772357725
44000 625.7235772357725
45000 625.7235772357725
46000 625.7235772357725
47000 625.7235772357725
48000 625.7235772357725
49000 625.7235772357725
50000 625.7235772357725
51000 625.7235772357725
52000 625.7235772357725
53000 625.7235772357725
54000 625.7235772357725
55000 625.7235772357725
56000 625.7235772357725
57000 625.7235772357725
58000 625.7235772357725
59000 625.7235772357725
60000 625.7235772357725
61000 625.7235772357725
62000 625.7235772357725
63000 625.7235772357725
64000 625.7235772357725
65000 625.7235772357725
66000 625.7235772357725
67000 625.7235772357725
68000 625.7235772357725
69000 625.7235772357725
70000 625.7235772357725
71000 625.7235772357725
72000 625.7235772357725
73000 625.7235772357725
74000 625.7235772357725
75000 625.7235772357725
76000 625.7235772357725
77000 625.7235772357725
78000 625.7235772357725
79000 625.7235772357725
80000 625.7235772357725
81000 625.7235772357725
82000 625.7235772357725
83000 625.7235772357725
84000 625.7235772357725
85000 625.7235772357725
86000 625.7235772357725
87000 625.7235772357725
88000 625.7235772357725
89000 625.7235772357725
90000 625.7235772357725
91000 625.7235772357725
92000 625.7235772357725
93000 625.7235772357725
94000 625.7235772357725
95000 625.7235772357725
96000 625.7235772357725
97000 625.7235772357725
98000 625.7235772357725
99000 625.7235772357725
