Averate RTT
Time
Time

0 0.0
1000 42.0
2000 110.0
3000 147.0
4000 178.0
5000 180.0
6000 187.0
7000 191.0
8000 190.0
9000 200.0
10000 199.0
11000 202.0
12000 203.0
13000 207.0
14000 207.0
15000 206.0
16000 206.0
17000 206.0
18000 207.0
19000 206.0
20000 206.0
21000 206.0
22000 206.0
23000 204.0
24000 202.0
25000 201.0
26000 200.0
27000 200.0
28000 198.0
29000 197.0
30000 197.0
31000 197.0
32000 196.0
33000 195.0
34000 194.0
35000 194.0
36000 194.0
37000 194.0
38000 195.0
39000 194.0
40000 192.0
41000 191.0
42000 191.0
43000 191.0
44000 190.0
45000 189.0
46000 188.0
47000 188.0
48000 188.0
49000 187.0
50000 187.0
51000 186.0
52000 185.0
53000 184.0
54000 184.0
55000 184.0
56000 183.0
57000 183.0
58000 183.0
59000 183.0
60000 181.0
61000 181.0
62000 180.0
63000 181.0
64000 180.0
65000 181.0
66000 182.0
67000 183.0
68000 184.0
69000 183.0
70000 183.0
71000 183.0
72000 183.0
73000 182.0
74000 184.0
75000 184.0
76000 184.0
77000 183.0
78000 183.0
79000 183.0
80000 184.0
81000 185.0
82000 184.0
83000 184.0
84000 184.0
85000 184.0
86000 184.0
87000 185.0
88000 183.0
89000 184.0
90000 184.0
91000 185.0
92000 184.0
93000 184.0
94000 183.0
95000 183.0
96000 183.0
97000 183.0
98000 182.0
99000 182.0
