Average Utilization
Time
Utilization (%)

0 0.0
1000 28.315514178079585
2000 27.766497811599038
3000 27.666673669148025
4000 27.67725093925844
5000 27.568837965443247
6000 27.636681316506827
7000 27.634610157387314
8000 27.54162129108172
9000 27.573702213344845
10000 27.59965074045711
11000 27.606554599131027
12000 27.644495684436016
13000 27.64619076021051
14000 27.657446235560105
15000 27.67533275311491
16000 27.66825282024707
17000 27.68182138213575
18000 27.638027049553777
19000 27.62694235873996
20000 27.62854885955357
21000 27.62984873106524
22000 27.641204384848933
23000 27.641204384848933
24000 27.632105601327325
25000 27.632105601327325
26000 27.60664324933824
27000 27.73630464263036
28000 27.825020840905964
29000 27.996956216416773
30000 28.47274192834753
31000 29.189311726045325
32000 30.20893433199546
33000 31.866911638319486
34000 32.87310924339475
35000 35.045552720891564
36000 37.125223715761905
37000 39.23829985153416
38000 41.49581795106944
39000 43.24180429189276
40000 43.94374828675881
41000 48.77512749875602
42000 50.86087599143204
43000 52.53184935725551
44000 53.752891092216764
45000 55.47032045304024
46000 57.349182679749354
47000 61.88235223954626
48000 61.25391593857184
49000 60.92895337543619
50000 62.591631882297186
51000 64.34645364651107
52000 67.33253007447007
53000 68.6397532773525
54000 70.79090999801734
55000 68.67466382376517
56000 69.17954478528462
57000 69.87760831892913
58000 66.0577161051218
59000 67.84957506031982
60000 64.5807769790792
61000 64.71167122091202
62000 64.14843995106419
63000 68.05880579523279
64000 69.62433229619917
65000 68.31186600595532
66000 68.12599272184922
67000 67.42929331548662
68000 68.47210203653901
69000 67.11950155653791
70000 66.59758383312911
71000 67.24780895069944
72000 68.30463102597469
73000 69.79774464019293
74000 71.1628395434002
75000 69.02612063160893
76000 69.94312720622058
77000 69.96560367002488
78000 69.02007679070628
79000 70.83786752520389
80000 71.52094495721282
81000 71.85754648627751
82000 73.07190040390276
83000 73.43139891904256
84000 75.43758680387707
85000 73.68758564084114
86000 73.75132187070388
87000 73.7994210464126
88000 73.05380001576408
89000 71.84714014541723
90000 71.72724706834995
91000 72.8624628908057
92000 72.5817933157521
93000 75.7491260195508
94000 75.35557414608233
95000 78.2451105453236
96000 79.48902062161636
97000 80.12691257404114
98000 80.81758830768517
99000 78.71168333290804
