Average Rejection Rate
Time
Rejection (%)

0.000000 0.000000 
1.000000 0.000000 
2.000000 13.813363 
3.000000 36.468215 
4.000000 47.748610 
5.000000 58.675250 
6.000000 65.456726 
7.000000 70.499483 
8.000000 74.274128 
9.000000 76.783688 
10.000000 78.957000 
11.000000 79.680945 
12.000000 81.005153 
13.000000 83.133036 
14.000000 84.177194 
15.000000 84.656335 
16.000000 84.932326 
17.000000 85.828055 
18.000000 86.149292 
19.000000 85.698929 
20.000000 85.670542 
21.000000 85.120231 
22.000000 84.815888 
23.000000 84.686278 
24.000000 84.186499 
25.000000 83.453547 
26.000000 82.616597 
27.000000 82.150189 
28.000000 81.486456 
29.000000 81.057966 
30.000000 80.563035 
31.000000 79.986352 
32.000000 79.375236 
33.000000 78.795798 
34.000000 78.237599 
35.000000 77.807533 
36.000000 77.329045 
37.000000 76.816098 
38.000000 76.386603 
39.000000 75.965443 
40.000000 75.675181 
41.000000 75.239676 
42.000000 74.973058 
43.000000 74.645397 
44.000000 74.421822 
45.000000 74.010846 
46.000000 73.715658 
47.000000 73.333312 
48.000000 72.871925 
49.000000 72.589275 
50.000000 72.302411 
51.000000 71.919763 
52.000000 71.722234 
53.000000 71.494408 
54.000000 71.213735 
55.000000 71.078631 
56.000000 70.900645 
57.000000 70.492564 
58.000000 70.228633 
59.000000 70.091780 
60.000000 69.896276 
61.000000 69.734756 
62.000000 69.528936 
63.000000 69.082313 
64.000000 68.946250 
65.000000 68.766054 
66.000000 68.580577 
67.000000 68.435906 
68.000000 68.114079 
69.000000 67.911670 
70.000000 67.694247 
71.000000 67.431923 
72.000000 67.215192 
73.000000 67.023321 
74.000000 66.952863 
75.000000 66.729307 
76.000000 66.578528 
77.000000 66.432325 
78.000000 66.093384 
79.000000 65.877643 
80.000000 65.736743 
81.000000 65.577231 
82.000000 65.483430 
83.000000 65.327065 
84.000000 65.077150 
85.000000 64.864437 
86.000000 64.773479 
87.000000 64.682182 
88.000000 64.543296 
89.000000 64.381018 
90.000000 64.210945 
91.000000 64.022468 
92.000000 63.790691 
93.000000 63.567863 
94.000000 63.395522 
95.000000 63.312983 
96.000000 63.236200 
97.000000 63.162951 
98.000000 63.044999 
99.000000 62.967631 
