Average Utilization
Time
Utilization (%)

0.000000 0.000000 
1.000000 0.000000 
2.000000 74.546573 
3.000000 76.843486 
4.000000 78.142299 
5.000000 77.715500 
6.000000 76.499557 
7.000000 75.603391 
8.000000 75.392219 
9.000000 75.451563 
10.000000 75.821318 
11.000000 76.365232 
12.000000 77.514633 
13.000000 79.413789 
14.000000 81.739220 
15.000000 83.407535 
16.000000 85.639586 
17.000000 87.767375 
18.000000 89.556309 
19.000000 90.706778 
20.000000 92.089688 
21.000000 93.092183 
22.000000 94.165397 
23.000000 94.912893 
24.000000 95.477527 
25.000000 95.951211 
26.000000 96.513580 
27.000000 96.925812 
28.000000 97.068634 
29.000000 97.236918 
30.000000 97.825729 
31.000000 97.747470 
32.000000 98.157514 
33.000000 98.177591 
34.000000 98.382241 
35.000000 98.464946 
36.000000 98.564275 
37.000000 98.430339 
38.000000 98.627540 
39.000000 98.478301 
40.000000 98.514081 
41.000000 98.325801 
42.000000 98.576170 
43.000000 98.656636 
44.000000 98.763762 
45.000000 98.579464 
46.000000 98.566116 
47.000000 98.658821 
48.000000 98.615206 
49.000000 98.702338 
50.000000 98.617401 
51.000000 98.487000 
52.000000 98.439550 
53.000000 98.715853 
54.000000 98.777608 
55.000000 98.717367 
56.000000 98.731743 
57.000000 98.574006 
58.000000 98.418869 
59.000000 98.602598 
60.000000 98.688928 
61.000000 98.637834 
62.000000 98.869127 
63.000000 98.415560 
64.000000 98.642519 
65.000000 98.669672 
66.000000 98.536773 
67.000000 98.790556 
68.000000 98.517221 
69.000000 98.475101 
70.000000 98.662951 
71.000000 98.648673 
72.000000 98.793190 
73.000000 98.966278 
74.000000 98.844141 
75.000000 98.765825 
76.000000 98.863979 
77.000000 98.846323 
78.000000 98.478293 
79.000000 98.522511 
80.000000 98.558534 
81.000000 98.684152 
82.000000 98.826422 
83.000000 98.968680 
84.000000 98.688406 
85.000000 98.815631 
86.000000 99.002697 
87.000000 98.954386 
88.000000 98.850473 
89.000000 98.795900 
90.000000 98.922979 
91.000000 98.864858 
92.000000 98.694964 
93.000000 98.578011 
94.000000 98.774518 
95.000000 98.908492 
96.000000 99.003236 
97.000000 99.118341 
98.000000 98.798983 
99.000000 98.959622 
